q_id,question_stem,img,correct,option1,option2,option3,option4,,
sectionateam3.csv/5_2,Safety of taking the transportation during night.,sectionateam3/image16.png,4,Have you ever felt like you never really had the opportunity to learn about the transportation options?,Have you ever tried to find out which stop you are approaching during the ride? Would you like to know that at all times while on the shuttle?,Have you ever been on the 28x bus but constantly carried the luggage with you? wouldn't you like your long journey to the airport to be much more comfortable?,Have you ever gone to the airport in the dark? dd you take steps to ensure your safety?,,
sectionateam3.csv/5_1,Safety of taking the transportation during night.,sectionateam3/image15.png,1,Have you ever gone to the airport in the dark? dd you take steps to ensure your safety?,Have you ever been on the 28x bus but constantly carried the luggage with you? wouldn't you like your long journey to the airport to be much more comfortable?,Have you ever felt like you never really had the opportunity to learn about the transportation options?,Have you ever tried to find out which stop you are approaching during the ride? Would you like to know that at all times while on the shuttle?,,
sectionateam3.csv/4_3,Enhancing relaxedness by making more space in the 28x bus.,sectionateam3/image14.jpeg,1,Have you ever been on the 28x bus but constantly carried the luggage with you? wouldn't you like your long journey to the airport to be much more comfortable?,Have you ever tried to find out which stop you are approaching during the ride? Would you like to know that at all times while on the shuttle?,Have you ever gone to the airport in the dark? dd you take steps to ensure your safety?,Have you ever felt like you never really had the opportunity to learn about the transportation options?,,
sectionateam3.csv/4_2,Enhancing relaxedness by making more space in the 28x bus.,sectionateam3/image13.jpeg,1,Have you ever been on the 28x bus but constantly carried the luggage with you? wouldn't you like your long journey to the airport to be much more comfortable?,Have you ever felt like you never really had the opportunity to learn about the transportation options?,Have you ever gone to the airport in the dark? dd you take steps to ensure your safety?,Have you ever tried to find out which stop you are approaching during the ride? Would you like to know that at all times while on the shuttle?,,
sectionateam3.csv/4_1,Enhancing relaxedness by making more space in the 28x bus.,sectionateam3/image12.jpeg,4,Have you ever felt like you never really had the opportunity to learn about the transportation options?,Have you ever tried to find out which stop you are approaching during the ride? Would you like to know that at all times while on the shuttle?,Have you ever gone to the airport in the dark? dd you take steps to ensure your safety?,Have you ever been on the 28x bus but constantly carried the luggage with you? wouldn't you like your long journey to the airport to be much more comfortable?,,
sectionateam3.csv/2_3,Cheap rideshare options to airport,sectionateam3/image7.jpeg,2,Have you ever been on the 28x bus but constantly carried the luggage with you? wouldn't you like your long journey to the airport to be much more comfortable?,Have you ever taken rideshare to the airport? have you found that it differs depending on the time of year? have you been affected by surge prices?,Have you ever tried to find out which stop you are approaching during the ride? Would you like to know that at all times while on the shuttle?,Have you ever gone to the airport in the dark? dd you take steps to ensure your safety?,,
sectionateam3.csv/2_2,Cheap rideshare options to airport,sectionateam3/image6.jpeg,2,Have you ever gone to the airport in the dark? dd you take steps to ensure your safety?,Have you ever taken rideshare to the airport? have you found that it differs depending on the time of year? have you been affected by surge prices?,Have you ever been on the 28x bus but constantly carried the luggage with you? wouldn't you like your long journey to the airport to be much more comfortable?,Have you ever tried to find out which stop you are approaching during the ride? Would you like to know that at all times while on the shuttle?,,
sectionateam3.csv/2_1,Cheap rideshare options to airport,sectionateam3/image5.jpeg,3,Have you ever been on the 28x bus but constantly carried the luggage with you? wouldn't you like your long journey to the airport to be much more comfortable?,Have you ever tried to find out which stop you are approaching during the ride? Would you like to know that at all times while on the shuttle?,Have you ever taken rideshare to the airport? have you found that it differs depending on the time of year? have you been affected by surge prices?,Have you ever gone to the airport in the dark? dd you take steps to ensure your safety?,,
sectionateam3.csv/1_3,What to do when you realize you're running late?,sectionateam3/image3.png,2,Have you ever taken rideshare to the airport? have you found that it differs depending on the time of year? have you been affected by surge prices?,Have you ever realized last minute that you're running late? how did you take steps to make sure you made your flight on time?,Have you ever tried to find out which stop you are approaching during the ride? Would you like to know that at all times while on the shuttle?,Have you ever gone to the airport in the dark? dd you take steps to ensure your safety?,,
sectionateam3.csv/1_2,What to do when you realize you're running late?,sectionateam3/image2.png,3,Have you ever tried to find out which stop you are approaching during the ride? Would you like to know that at all times while on the shuttle?,Have you ever gone to the airport in the dark? dd you take steps to ensure your safety?,Have you ever realized last minute that you're running late? how did you take steps to make sure you made your flight on time?,Have you ever taken rideshare to the airport? have you found that it differs depending on the time of year? have you been affected by surge prices?,,
sectionateam3.csv/1_1,What to do when you realize you're running late?,sectionateam3/image1.png,1,Have you ever realized last minute that you're running late? how did you take steps to make sure you made your flight on time?,Have you ever gone to the airport in the dark? dd you take steps to ensure your safety?,Have you ever taken rideshare to the airport? have you found that it differs depending on the time of year? have you been affected by surge prices?,Have you ever tried to find out which stop you are approaching during the ride? Would you like to know that at all times while on the shuttle?,,
sectionateam1.csv/2_3,Users need specific transpoortation accomodations that are dependant on the weather,sectionateam1/image6.jpg,1,Do you find yourself needing different transportation options depending on the weather (ie. Rainy/snow vs a sunny day),"What kinds of information (time, weather conditions, traffic, etc.) do you consider or find useful while planning a trip for later in the day/the future? ","Have you ever tried using the shuttle service, but while doing so had trouble figuring out which is the best route to take? would you like a better way to find a way to find the best route, so that you could be confident with the results you find?",Have you ever felt like you never really had the opportunity to learn about the transportation options?,,
sectionateam1.csv/2_2,Users need specific transpoortation accomodations that are dependant on the weather,sectionateam1/image5.jpg,4,Have you ever felt like you never really had the opportunity to learn about the transportation options?,"What kinds of information (time, weather conditions, traffic, etc.) do you consider or find useful while planning a trip for later in the day/the future? ","Have you ever tried using the shuttle service, but while doing so had trouble figuring out which is the best route to take? would you like a better way to find a way to find the best route, so that you could be confident with the results you find?",Do you find yourself needing different transportation options depending on the weather (ie. Rainy/snow vs a sunny day),,
sectionateam1.csv/2_1,Users need specific transpoortation accomodations that are dependant on the weather,sectionateam1/image4.jpg,1,Do you find yourself needing different transportation options depending on the weather (ie. Rainy/snow vs a sunny day),"What kinds of information (time, weather conditions, traffic, etc.) do you consider or find useful while planning a trip for later in the day/the future? ",Have you ever felt like you never really had the opportunity to learn about the transportation options?,"Have you ever tried using the shuttle service, but while doing so had trouble figuring out which is the best route to take? would you like a better way to find a way to find the best route, so that you could be confident with the results you find?",,
sectionateam1.csv/1_2,Users need specific transpoortation accomodations that are independent on the time of the day (morning vs night),sectionateam1/image2.jpg,1,Have you ever felt like yoou needed to use a diffeerent transportation method in the morning compared to a transpoortation method used at night?,Have you ever gone to the airport in the dark? dd you take steps to ensure your safety?,"Have you ever tried using the shuttle service, but while doing so had trouble figuring out which is the best route to take? would you like a better way to find a way to find the best route, so that you could be confident with the results you find?",Have you ever felt like you never really had the opportunity to learn about the transportation options?,,
sectionateam1.csv/1_1,Users need specific transpoortation accomodations that are independent on the time of the day (morning vs night),sectionateam1/image1.jpg,1,Have you ever felt like yoou needed to use a diffeerent transportation method in the morning compared to a transpoortation method used at night?,Have you ever felt like you never really had the opportunity to learn about the transportation options?,"Have you ever tried using the shuttle service, but while doing so had trouble figuring out which is the best route to take? would you like a better way to find a way to find the best route, so that you could be confident with the results you find?",Have you ever gone to the airport in the dark? dd you take steps to ensure your safety?,,
sectioncteam1.csv/5_3,"Users need access to other backup transportation options, especially when transport becomes unpredictable.",sectioncteam1/image15.png,4,Have you ever taken rideshare to the airport? have you found that it differs depending on the time of year? have you been affected by surge prices?,Have you ever search for a shuttle route and stop near your home? would you ever want to just search your destination and get the results?,Would you feel more safe going home if you knew you there were limited dangers and low risks?,"When you commuting between home and campus, have you ever have met some unpredictable difficulties and need backup options for transportation?",,
sectioncteam1.csv/5_2,"Users need access to other backup transportation options, especially when transport becomes unpredictable.",sectioncteam1/image14.png,3,Have you ever search for a shuttle route and stop near your home? would you ever want to just search your destination and get the results?,Would you feel more safe going home if you knew you there were limited dangers and low risks?,"When you commuting between home and campus, have you ever have met some unpredictable difficulties and need backup options for transportation?",Have you ever taken rideshare to the airport? have you found that it differs depending on the time of year? have you been affected by surge prices?,,
sectioncteam1.csv/5_1,"Users need access to other backup transportation options, especially when transport becomes unpredictable.",sectioncteam1/image13.png,4,Would you feel more safe going home if you knew you there were limited dangers and low risks?,Have you ever taken rideshare to the airport? have you found that it differs depending on the time of year? have you been affected by surge prices?,Have you ever search for a shuttle route and stop near your home? would you ever want to just search your destination and get the results?,"When you commuting between home and campus, have you ever have met some unpredictable difficulties and need backup options for transportation?",yes,screen design
sectioncteam1.csv/4_3,"When using rideshares, users want to be familiar with or have more accurate pickup location: Easier to find, potentially safer.",sectioncteam1/image12.png,4,Have you ever taken rideshare to the airport? have you found that it differs depending on the time of year? have you been affected by surge prices?,Have you ever gone to the airport in the dark? dd you take steps to ensure your safety?,Have you ever been on the 28x bus but constantly carried the luggage with you? wouldn't you like your long journey to the airport to be much more comfortable?,"When using ridesharing services, have you ever have difficulty in locating the right pickup location to meet the driver? How do you value safety in selecting pickup location for ridesharing services on campus?",,
sectioncteam1.csv/4_2,"When using rideshares, users want to be familiar with or have more accurate pickup location: Easier to find, potentially safer.",sectioncteam1/image11.png,3,Have you ever been on the 28x bus but constantly carried the luggage with you? wouldn't you like your long journey to the airport to be much more comfortable?,Have you ever gone to the airport in the dark? dd you take steps to ensure your safety?,"When using ridesharing services, have you ever have difficulty in locating the right pickup location to meet the driver? How do you value safety in selecting pickup location for ridesharing services on campus?",Have you ever taken rideshare to the airport? have you found that it differs depending on the time of year? have you been affected by surge prices?,,
sectioncteam1.csv/4_1,"When using rideshares, users want to be familiar with or have more accurate pickup location: Easier to find, potentially safer.",sectioncteam1/image10.png,4,Have you ever been on the 28x bus but constantly carried the luggage with you? wouldn't you like your long journey to the airport to be much more comfortable?,Have you ever gone to the airport in the dark? dd you take steps to ensure your safety?,Have you ever taken rideshare to the airport? have you found that it differs depending on the time of year? have you been affected by surge prices?,"When using ridesharing services, have you ever have difficulty in locating the right pickup location to meet the driver? How do you value safety in selecting pickup location for ridesharing services on campus?",,
sectioncteam1.csv/3_3,Users want a comfortable/warm waiting condition.,sectioncteam1/image9.png,4,Have you experienced the anxiety of not knowing where the shuttle is when it is not on schedule?,Have you ever felt like you never really had the opportunity to learn about the transportation options?,Have you ever been on the 28x bus but constantly carried the luggage with you? wouldn't you like your long journey to the airport to be much more comfortable?,Have you ever had the situation that the waiting area is not comfortable?,,
sectioncteam1.csv/3_2,Users want a comfortable/warm waiting condition.,sectioncteam1/image8.png,4,Have you experienced the anxiety of not knowing where the shuttle is when it is not on schedule?,Have you ever felt like you never really had the opportunity to learn about the transportation options?,Have you ever been on the 28x bus but constantly carried the luggage with you? wouldn't you like your long journey to the airport to be much more comfortable?,Have you ever had the situation that the waiting area is not comfortable?,,
sectioncteam1.csv/3_1,Users want a comfortable/warm waiting condition.,sectioncteam1/image7.png,4,Have you ever felt like you never really had the opportunity to learn about the transportation options?,Have you experienced the anxiety of not knowing where the shuttle is when it is not on schedule?,Have you ever been on the 28x bus but constantly carried the luggage with you? wouldn't you like your long journey to the airport to be much more comfortable?,Have you ever had the situation that the waiting area is not comfortable?,,
sectioncteam1.csv/2_3,Users want to have reliable information about their transportation; they want to be able to trust the information and/or know it won't change (e.g. ETA).,sectioncteam1/image6.png,3,Have you ever gone to the airport in the dark? dd you take steps to ensure your safety?,Have you ever been on the 28x bus but constantly carried the luggage with you? wouldn't you like your long journey to the airport to be much more comfortable?,"Have you ever planned when you'll take the bus/shuttle from campus, and at the last minute, the arrival time changes unexpectedly?",Have you ever felt like you never really had the opportunity to learn about the transportation options?,,
sectioncteam1.csv/2_2,Users want to have reliable information about their transportation; they want to be able to trust the information and/or know it won't change (e.g. ETA).,sectioncteam1/image5.png,3,Have you ever been on the 28x bus but constantly carried the luggage with you? wouldn't you like your long journey to the airport to be much more comfortable?,Have you ever gone to the airport in the dark? dd you take steps to ensure your safety?,"Have you ever planned when you'll take the bus/shuttle from campus, and at the last minute, the arrival time changes unexpectedly?",Have you ever felt like you never really had the opportunity to learn about the transportation options?,,
sectioncteam1.csv/2_1,Users want to have reliable information about their transportation; they want to be able to trust the information and/or know it won't change (e.g. ETA).,sectioncteam1/image4.png,3,Have you ever felt like you never really had the opportunity to learn about the transportation options?,Have you ever been on the 28x bus but constantly carried the luggage with you? wouldn't you like your long journey to the airport to be much more comfortable?,"Have you ever planned when you'll take the bus/shuttle from campus, and at the last minute, the arrival time changes unexpectedly?",Have you ever gone to the airport in the dark? dd you take steps to ensure your safety?,,
sectioncteam1.csv/1_3,Users want to minimize wait and avoid unnecessary waiting at pickup location,sectioncteam1/image3.png,3,"Have you ever planned when you'll take the bus/shuttle from campus, and at the last minute, the arrival time changes unexpectedly?",Have you ever waited at a shuttle stop longer than it would take you to walk?,Have you ever arrived at the bus station and waited a bus for a long time that you think is too long or unnecessary?,Did you ever wait for a bus only to find out the bus skips your stop because it was full? ,,
sectioncteam1.csv/1_2,Users want to minimize wait and avoid unnecessary waiting at pickup location,sectioncteam1/image2.png,1,Have you ever arrived at the bus station and waited a bus for a long time that you think is too long or unnecessary?,Have you ever waited at a shuttle stop longer than it would take you to walk?,Did you ever wait for a bus only to find out the bus skips your stop because it was full? ,"Have you ever planned when you'll take the bus/shuttle from campus, and at the last minute, the arrival time changes unexpectedly?",,
sectioncteam1.csv/1_1,Users want to minimize wait and avoid unnecessary waiting at pickup location,sectioncteam1/image1.png,2,Did you ever wait for a bus only to find out the bus skips your stop because it was full? ,Have you ever arrived at the bus station and waited a bus for a long time that you think is too long or unnecessary?,"Have you ever planned when you'll take the bus/shuttle from campus, and at the last minute, the arrival time changes unexpectedly?",Have you ever waited at a shuttle stop longer than it would take you to walk?,,
sectionbteam1.csv/4_3,Riders need entertainment while riding the shuttle.,sectionbteam1/image12.jpeg,2,"Have you ever tried using the shuttle service, but while doing so had trouble figuring out which is the best route to take? would you like a better way to find a way to find the best route, so that you could be confident with the results you find?",Do you ever wish you had a friend to sit with on the shuttle?,Have you ever been on the 28x bus but constantly carried the luggage with you? wouldn't you like your long journey to the airport to be much more comfortable?,Have you ever tried to find out which stop you are approaching during the ride? Would you like to know that at all times while on the shuttle?,,
sectionbteam1.csv/4_2,Riders need entertainment while riding the shuttle.,sectionbteam1/image11.jpeg,1,Do you often have to choose between being social or listening to music?,Do you want to meet other shuttle riders and are unsure of who also wants to talk?,Do you need exact navigation to classrooms on campus?,Do you go through a series of decisions on what kind of transportation to take and when to leave to board on time?,,
sectionbteam1.csv/4_1,Riders need info on when theirr stop is coming up,sectionbteam1/image10.jpeg,4,"Have you ever planned when you'll take the bus/shuttle from campus, and at the last minute, the arrival time changes unexpectedly?",Have you ever tried to find out which stop you are approaching during the ride? Would you like to know that at all times while on the shuttle?,Have you experienced the anxiety of not knowing where the shuttle is when it is not on schedule?,Have you everr feel frrustrated of not knowing when to get off the shuttle?,,
sectionbteam1.csv/3_3,Riders need entertainment while riding the shuttle.,sectionbteam1/image9.png,2,Have you ever been on the 28x bus but constantly carried the luggage with you? wouldn't you like your long journey to the airport to be much more comfortable?,Do you ever wish you had a friend to sit with on the shuttle?,"Have you ever tried using the shuttle service, but while doing so had trouble figuring out which is the best route to take? would you like a better way to find a way to find the best route, so that you could be confident with the results you find?",Have you ever tried to find out which stop you are approaching during the ride? Would you like to know that at all times while on the shuttle?,,
sectionbteam1.csv/3_2,Riders need entertainment while riding the shuttle.,sectionbteam1/image8.png,4,Have you ever gone to the airport in the dark? dd you take steps to ensure your safety?,Do you go through a series of decisions on what kind of transportation to take and when to leave to board on time?,Do you need exact navigation to classrooms on campus?,Do you often have to choose between being social or listening to music?,,
sectionbteam1.csv/3_1,Riders need entertainment while riding the shuttle.,sectionbteam1/image7.png,3,Have you ever tried to find out which stop you are approaching during the ride? Would you like to know that at all times while on the shuttle?,"Have you ever wanted to make conversation with the CMU shuttle driver, but didn't because you didn't want to bother him?",Do you want to meet other shuttle riders and are unsure of who also wants to talk?,Do you go through a series of decisions on what kind of transportation to take and when to leave to board on time?,,
sectionbteam1.csv/2_3,Students and drivers need a more personal relationship with each other.,sectionbteam1/image6.jpeg,1,Have you ever wanted a more personal relationship with the driver?,Have you ever wanted to be a more organized person and become more in control of your daily transportation experience?,Have you ever been on the 28x bus but constantly carried the luggage with you? wouldn't you like your long journey to the airport to be much more comfortable?,"Have you ever wanted to make conversation with the CMU shuttle driver, but didn't because you didn't want to bother him?",,
sectionbteam1.csv/2_2,Students and drivers need a more personal relationship with each other.,sectionbteam1/image5.jpeg,2,Have you ever been on the 28x bus but constantly carried the luggage with you? wouldn't you like your long journey to the airport to be much more comfortable?,Have you ever wanted a more personal relationship with the driver?,"Have you ever wanted to make conversation with the CMU shuttle driver, but didn't because you didn't want to bother him?",Have you ever wanted to be a more organized person and become more in control of your daily transportation experience?,,
sectionbteam1.csv/2_1,Students and drivers need a more personal relationship with each other.,sectionbteam1/image4.jpeg,1,Have you ever wanted a more personal relationship with the driver?,Have you ever been on the 28x bus but constantly carried the luggage with you? wouldn't you like your long journey to the airport to be much more comfortable?,Have you ever wanted to be a more organized person and become more in control of your daily transportation experience?,"Have you ever wanted to make conversation with the CMU shuttle driver, but didn't because you didn't want to bother him?",,
sectionbteam1.csv/1_3,Students need real-time information on shuttle,sectionbteam1/image3.png,3,Have you ever search for a shuttle route and stop near your home? would you ever want to just search your destination and get the results?,Have you ever had uncomfortable experience waiting for transportation?,Have you ever experienced feeling frustrated waiting for a delayed shuttle and not knowing when it will show up?,Have you ever experienced feeling your waiting experience meaningless?,,
sectionbteam1.csv/1_2,Students need real-time information on shuttle,sectionbteam1/image2.png,1,Have you ever experienced an overfilled shuttle that you are not able to get on?,Have you ever tried to find out which stop you are approaching during the ride? Would you like to know that at all times while on the shuttle?,Have you ever realized last minute that you're running late? how did you take steps to make sure you made your flight on time?,Have you ever waited at a shuttle stop longer than it would take you to walk?,,
sectionbteam1.csv/1_1,Students need real-time information on shuttle,sectionbteam1/image1.png,4,"Have you ever planned when you'll take the bus/shuttle from campus, and at the last minute, the arrival time changes unexpectedly?",Have you ever had the situation that the waiting area is not comfortable?,Have you everr feel frrustrated of not knowing when to get off the shuttle?,Have you experienced the anxiety of not knowing where the shuttle is when it is not on schedule?,,
sectionbteam2.csv/1_3,Reducing barrier/better interaction with drivers,sectionbteam2/image3.png,2,Have you ever wanted a more personal relationship with the driver?,Have you ever been on a CMU shuttle ride where the driver gave you a hard time?,Have you ever missed a shuttle because you couldn't find all the information you needed from one resource?,Have you ever taken rideshare to the airport? have you found that it differs depending on the time of year? have you been affected by surge prices?,,
sectionbteam2.csv/1_2,Reducing barrier/better interaction with drivers,sectionbteam2/image2.png,2,Have you ever tried to find out which stop you are approaching during the ride? Would you like to know that at all times while on the shuttle?,Have you ever felt lonely or bored during a shuttle ride?,Have you ever waited at a shuttle stop longer than it would take you to walk?,Have you ever missed a shuttle because you couldn't find all the information you needed from one resource?,,
sectionbteam2.csv/1_1,Reducing barrier/better interaction with drivers,sectionbteam2/image1.png,4,Have you ever gone to the airport in the dark? dd you take steps to ensure your safety?,Have you ever missed a shuttle because you couldn't find all the information you needed from one resource?,Have you ever been on the 28x bus but constantly carried the luggage with you? wouldn't you like your long journey to the airport to be much more comfortable?,"Have you ever wanted to make conversation with the CMU shuttle driver, but didn't because you didn't want to bother him?",,
sectioncteam2.csv/2_3,Choosing a safe transportation method at night,sectioncteam2/image6.png,1,Have you ever traveled back home late at night and not sure about what transportation to take?,Have you ever felt like you never really had the opportunity to learn about the transportation options?,Have you ever realized last minute that you're running late? how did you take steps to make sure you made your flight on time?,Have you ever waited at a shuttle stop longer than it would take you to walk?,,
sectioncteam2.csv/2_2,Choosing a safe transportation method at night,sectioncteam2/image5.png,4,Have you ever realized last minute that you're running late? how did you take steps to make sure you made your flight on time?,Have you ever felt like you never really had the opportunity to learn about the transportation options?,Have you ever waited at a shuttle stop longer than it would take you to walk?,Have you ever traveled back home late at night and not sure about what transportation to take?,,
sectioncteam2.csv/2_1,Choosing a safe transportation method at night,sectioncteam2/image4.png,3,Have you ever waited at a shuttle stop longer than it would take you to walk?,Have you ever felt like you never really had the opportunity to learn about the transportation options?,Have you ever traveled back home late at night and not sure about what transportation to take?,Have you ever realized last minute that you're running late? how did you take steps to make sure you made your flight on time?,,
sectioncteam2.csv/1_3,Students need help to be more organized & have a desire of becoming organized,sectioncteam2/image3.png,1,Have you ever wanted to be a more organized person and become more in control of your daily transportation experience?,Have you ever wanted a more personal relationship with the driver?,Have you ever had uncomfortable experience waiting for transportation?,Have you ever search for a shuttle route and stop near your home? would you ever want to just search your destination and get the results?,,
sectioncteam2.csv/1_2,Students need help to be more organized & have a desire of becoming organized,sectioncteam2/image2.png,1,Have you ever wanted to be a more organized person and become more in control of your daily transportation experience?,Have you ever had uncomfortable experience waiting for transportation?,Have you ever wanted a more personal relationship with the driver?,Have you ever search for a shuttle route and stop near your home? would you ever want to just search your destination and get the results?,,
sectioncteam2.csv/1_1,Students need help to be more organized & have a desire of becoming organized,sectioncteam2/image1.png,2,Have you ever wanted a more personal relationship with the driver?,Have you ever wanted to be a more organized person and become more in control of your daily transportation experience?,Have you ever had uncomfortable experience waiting for transportation?,Have you ever search for a shuttle route and stop near your home? would you ever want to just search your destination and get the results?,,
sectioncteam3.csv/2_3,Transportation vehicles on campus,sectioncteam3/image6.png,4,Would you feel more safe going home if you knew you there were limited dangers and low risks?,Do you experience frustration when you input information into transportation options each time you use them?,"When you commuting between home and campus, have you ever have met some unpredictable difficulties and need backup options for transportation?",Do you feel like self-driving scooters useful and applicable?,,
sectioncteam3.csv/2_2,Transportation vehicles on campus,sectioncteam3/image5.png,2,Would you feel more safe going home if you knew you there were limited dangers and low risks?,"If you are injured, will you consider using this e-scooter service?",Have you ever realized last minute that you're running late? how did you take steps to make sure you made your flight on time?,Do you experience frustration when you input information into transportation options each time you use them?,,
sectioncteam3.csv/2_1,Transportation vehicles on campus,sectioncteam3/image4.png,3,Do you go through a series of decisions on what kind of transportation to take and when to leave to board on time?,"Have you ever tried using the shuttle service, but while doing so had trouble figuring out which is the best route to take? would you like a better way to find a way to find the best route, so that you could be confident with the results you find?",Do you consider golf cars as a useful way to commute on campus?,Do you need exact navigation to classrooms on campus?,,
sectioncteam3.csv/1_3,Easy navigation on CMU campus,sectioncteam3/image3.png,2,Do you go through a series of decisions on what kind of transportation to take and when to leave to board on time?,Do you need exact navigation to classrooms on campus?,Do you consider golf cars as a useful way to commute on campus?,Have you ever realized last minute that you're running late? how did you take steps to make sure you made your flight on time?,,
sectioncteam3.csv/1_2,Easy navigation on CMU campus,sectioncteam3/image2.png,3,Do you consider golf cars as a useful way to commute on campus?,Have you ever realized last minute that you're running late? how did you take steps to make sure you made your flight on time?,Do you need exact navigation to classrooms on campus?,Do you go through a series of decisions on what kind of transportation to take and when to leave to board on time?,,
sectioncteam3.csv/1_1,Easy navigation on CMU campus,sectioncteam3/image1.png,1,Do you need exact navigation to classrooms on campus?,Do you consider golf cars as a useful way to commute on campus?,Do you go through a series of decisions on what kind of transportation to take and when to leave to board on time?,Have you ever realized last minute that you're running late? how did you take steps to make sure you made your flight on time?,,
sectionbteam3.csv/5_3,Personalizing information users receive on their transportation options,sectionbteam3/image35.jpeg,3,Have you ever realized last minute that you're running late? how did you take steps to make sure you made your flight on time?,Have you ever search for a shuttle route and stop near your home? would you ever want to just search your destination and get the results?,Would you find it useful if your transportation options know your destinations and preferences each time you used them?,Would you feel more safe going home if you knew you there were limited dangers and low risks?,,
sectionbteam3.csv/5_2,Personalizing information users receive on their transportation options,sectionbteam3/image16.jpeg,2,do you want to avoid suspicious individuals on your walk home?,Do you find it useful when your transportation options have existing information on your preferences?,Do you find yourself needing different transportation options depending on the weather (ie. Rainy/snow vs a sunny day),Do you experience difficulty finding information about differences of transportation service?,,
sectionbteam3.csv/5_1,Personalizing information users receive on their transportation options,sectionbteam3/image15.jpeg,2,Have you ever realized last minute that you're running late? how did you take steps to make sure you made your flight on time?,Do you experience frustration when you input information into transportation options each time you use them?,Do you experience difficulty finding information about differences of transportation service?,Have you ever missed a shuttle because you couldn't find all the information you needed from one resource?,,
sectionbteam3.csv/4_3,Identifying differences of transportation options (Easier selection/to choose what to ride),sectionbteam3/image14.jpeg,4,Do you go through a series of decisions on what kind of transportation to take and when to leave to board on time?,Have you ever had uncomfortable experience waiting for transportation?,Do you experience frustration when you input information into transportation options each time you use them?,Do you experience difficulty choosing what transportation option to use?,,
